recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,recordist,license,remarks,background_species,status
XC109190,Psaltriparus minimus,Psaltriparus,minimus,,American Bushtit,call,,juvenile,0,2012-06-29,06:05,,Rating,37.769,-106.469,3000,E,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. Most of the birds in the flock were adults, but I saw at least a few juveniles as well. The loudest bird in the cut was a bit at the top of a close juniper tree.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. Most of the birds in the flock were adults, but I saw at least a few juveniles as well. The loudest bird in the cut was a bit at the top of a close juniper tree.",none,success
XC109191,Psaltriparus minimus,Psaltriparus,minimus,,American Bushtit,call,,,0,2012-06-29,06:05,,Rating,37.769,-106.469,3000,E,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. While giving these calls the flock was moving actively through the tops of the trees, completely ignoring my presence.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. While giving these calls the flock was moving actively through the tops of the trees, completely ignoring my presence.",none,success
XC109192,Psaltriparus minimus,Psaltriparus,minimus,,American Bushtit,call,,,0,2012-06-29,06:05,,Rating,37.769,-106.469,3000,E,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. While giving these calls the flock was moving actively through the tops of the trees, completely ignoring my presence.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalizations; calls from a small flock of birds at very close range in open pinyon-juniper woodland. While giving these calls the flock was moving actively through the tops of the trees, completely ignoring my presence.",none,success
XC109299,Spinus tristis,Spinus,tristis,,American Goldfinch,call,"male, female",,0,2012-05-14,07:00,,Rating,40.44978,-108.522902,1700,E,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,none,success
XC109300,Spinus tristis,Spinus,tristis,,American Goldfinch,call,"male, female",,0,2012-05-14,07:00,,Rating,40.44978,-108.522902,1700,E,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,none,success
XC109301,Spinus tristis,Spinus,tristis,,American Goldfinch,call,"male, female",,0,2012-05-14,07:00,,Rating,40.44978,-108.522902,1700,E,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; various call types from a female plumaged bird perched near the top of a medium-height juniper tree adjacent to a thick riparian grove.,none,success
XC109305,Pheucticus melanocephalus,Pheucticus,melanocephalus,,Black-headed Grosbeak,song,male,,0,2012-05-14,07:40,,Rating,40.44978,-108.522902,1700,E,natural vocalization; song from the male of a pair moving around in sparse cottonwood trees on the edge of a large river.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; song from the male of a pair moving around in sparse cottonwood trees on the edge of a large river.,none,success
XC109306,Pheucticus melanocephalus,Pheucticus,melanocephalus,,Black-headed Grosbeak,song,male,,0,2012-05-14,07:40,,Rating,40.44978,-108.522902,1700,E,natural vocalization; song from the male of a pair moving around in sparse cottonwood trees on the edge of a large river.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; song from the male of a pair moving around in sparse cottonwood trees on the edge of a large river.,none,success
XC109314,Megaceryle alcyon,Megaceryle,alcyon,,Belted Kingfisher,call,,,0,2012-09-04,11:00,,Rating,36.067,-83.231,300,E,A pair seen flying up and down the tree line next to the waters edge.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,A pair seen flying up and down the tree line next to the waters edge.,none,success
XC109601,Cyanocitta cristata,Cyanocitta,cristata,,Blue Jay,call,,,0,2012-09-01,07:47,,Rating,44.8298,-93.2462,220,E,None given,Creative Commons Attribution-ShareAlike 3.0,None given,none,success
XC109602,Sayornis nigricans,Sayornis,nigricans,,Black Phoebe,song,,,0,2012-09-03,07:09,,Rating,37.3062,-122.0617,150,E,Singing from high in a tree in a suburban park.,Creative Commons Attribution-ShareAlike 3.0,"Singing from high in a tree in a suburban park.
Recorded with internal microphone on Olympus LS-10S. Filtered low frequency noise.",American Crow Corvus brachyrhynchos,success
XC109603,Sayornis nigricans,Sayornis,nigricans,,Black Phoebe,call,,,0,2012-09-03,07:24,,Rating,37.3062,-122.0617,150,E,Same bird as XC109602. Several different types of calls given from a fencepost along a walking path in a suburban park. Calls faster toward the end of the cut as a walker approached.,Creative Commons Attribution-ShareAlike 3.0,"Same bird as XC109602. Several different types of calls given from a fencepost along a walking path in a suburban park. Calls faster toward the end of the cut as a walker approached.
Recorded with internal microphone of Olympus LS-10S. Some low-frequency noise filtered.",American Crow Corvus brachyrhynchos,success
XC109606,Spinus tristis,Spinus,tristis,,American Goldfinch,call,,adult,0,2012-08-12,10:30,,Rating,35.386,-84.125,550,E,Adult singing from exposed snag,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Adult singing from exposed snag,Red-headed Woodpecker Melanerpes erythrocephalus,success
XC109651,Calypte anna,Calypte,anna,,Anna's Hummingbird,song,,,0,2012-09-03,08:02,,Rating,37.3144,-122.0632,100,E,Display flight above a Quercus agrifolia in an open field. The loud squeak at the beginning of the cut is the mechanical sound produced by the tail feathers at the bottom of the dive.,Creative Commons Attribution-ShareAlike 3.0,Display flight above a Quercus agrifolia in an open field. The loud squeak at the beginning of the cut is the mechanical sound produced by the tail feathers at the bottom of the dive.,none,success
XC109666,Psaltriparus minimus,Psaltriparus,minimus,,American Bushtit,call,,,0,2012-09-05,07:42,,Rating,37.3144,-122.0632,100,E,Calls from a foraging flock of 10-20 at relatively close range in Quercus agrifolia.,Creative Commons Attribution-ShareAlike 3.0,"Calls from a foraging flock of 10-20 at relatively close range in Quercus agrifolia.
The loud, harsh call around 0:34 is Bewick's Wren.",American Crow Corvus brachyrhynchos,success
XC109668,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0,2012-09-05,07:45,,Rating,37.3144,-122.0632,100,E,Natural song from bird within a large Quercus agrifolia tree.,Creative Commons Attribution-ShareAlike 3.0,"Natural song from bird within a large Quercus agrifolia tree.
Filtered for traffic noise.",none,success
XC109768,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0,2012-09-09,10:00,,Rating,46.9034,-124.1301,0,E,"natural vocalizations; calls from a flock of birds moving around a pile of driftwood along a sandy beach. The crows in this area have a murky taxonomy, but it seems generally accepted that the ones in this area are American Crows rather than Northwestern Crow.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalizations; calls from a flock of birds moving around a pile of driftwood along a sandy beach. The crows in this area have a murky taxonomy, but it seems generally accepted that the ones in this area are American Crows rather than Northwestern Crow.",none,success
XC109852,Calypte anna,Calypte,anna,,Anna's Hummingbird,song,,,0,2012-09-09,08:36,,Rating,37.2913,-122.0845,240,E,Singing from a perch on the side of a trail in chapparal habitat in the foothills.,Creative Commons Attribution-ShareAlike 3.0,"Singing from a perch on the side of a trail in chapparal habitat in the foothills.
I believe that the first half of the cut is from a bird on one side of the trail, and the last half of this cut is from a different bird on the other side of the trail.",California Thrasher Toxostoma redivivum,success
XC109920,Myiarchus cinerascens,Myiarchus,cinerascens,,Ash-throated Flycatcher,dawn song,,,0,2012-05-28,05:30,,Rating,39.396,-109.0507,1600,E,"natural vocalization; dawn song from a bird perched in the middle of a large juniper tree, in the middle of dense pinyon-juniper forest on the slopes of a canyon.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; dawn song from a bird perched in the middle of a large juniper tree, in the middle of dense pinyon-juniper forest on the slopes of a canyon.",none,success
XC109921,Myiarchus cinerascens,Myiarchus,cinerascens,,Ash-throated Flycatcher,call,,,0,2012-05-28,06:10,,Rating,39.396,-109.0507,1600,E,"natural vocalization; calls from one of a pair, initially in flight, then perched, in pinyon-juniper forest on canyon slopes.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from one of a pair, initially in flight, then perched, in pinyon-juniper forest on canyon slopes.",none,success
XC109922,Myiarchus cinerascens,Myiarchus,cinerascens,,Ash-throated Flycatcher,call,,,0,2012-05-28,06:10,,Rating,39.396,-109.0507,1600,E,"natural vocalization; calls from one of a pair, in pinyon-juniper forest on canyon slopes.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from one of a pair, in pinyon-juniper forest on canyon slopes.",none,success
XC109923,Myiarchus cinerascens,Myiarchus,cinerascens,,Ash-throated Flycatcher,call,,,0,2012-05-28,06:10,,Rating,39.396,-109.0507,1600,E,"natural vocalization; calls from one of a pair, in pinyon-juniper forest on canyon slopes.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from one of a pair, in pinyon-juniper forest on canyon slopes.",none,success
XC109946,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,song,,,0,2012-04-30,05:50,,Rating,39.0245,-108.629,1600,E,natural vocalization; multiple song types from an individual in open sagebrush habitat at the bottom of a canyon covered in pinyon-juniper woodland. While singing the bird was perched on top of a tall sagebrush and remained on the same perch for the duration of the cut.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; multiple song types from an individual in open sagebrush habitat at the bottom of a canyon covered in pinyon-juniper woodland. While singing the bird was perched on top of a tall sagebrush and remained on the same perch for the duration of the cut.,none,success
XC109947,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0,2012-04-30,10:00,,Rating,39.1717,-109.0207,1400,E,natural vocalizations; song from an individual in sparse sagebrush and greasewood flats in rough canyon country. A few high pitched calls at the end of the cut given as the bird moved off its perch on a small greasewood.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalizations; song from an individual in sparse sagebrush and greasewood flats in rough canyon country. A few high pitched calls at the end of the cut given as the bird moved off its perch on a small greasewood.,none,success
XC109948,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0,2012-04-30,10:20,,Rating,39.1717,-109.0207,1400,E,natural vocalizations; calls from a pair of birds moving low through greasewood and sagebrush at the edge of pinyon-juniper woodland in rough canyon country.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalizations; calls from a pair of birds moving low through greasewood and sagebrush at the edge of pinyon-juniper woodland in rough canyon country.,none,success
XC109949,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0,2012-04-30,10:20,,Rating,39.1717,-109.0207,1400,E,"natural vocalizations; calls from one of a pair of birds moving low through greasewood and sagebrush at the edge of pinyon-juniper woodland in rough canyon country. The high-pitched 'tink' calls given while the bird was hidden low in the bush, and the occasional cascade calls (in this cut only given by one bird) when it would move to a different bush.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalizations; calls from one of a pair of birds moving low through greasewood and sagebrush at the edge of pinyon-juniper woodland in rough canyon country. The high-pitched 'tink' calls given while the bird was hidden low in the bush, and the occasional cascade calls (in this cut only given by one bird) when it would move to a different bush.",none,success
XC109950,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0,2012-04-30,10:20,,Rating,39.1717,-109.0207,1400,E,"response to playback; cascade calls from a pair of birds moving low through greasewood and sagebrush. These calls given most vigorously right after one of the pair flew in to the same bush where the other was perched, a la brush-finch pair excitement calls.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"response to playback; cascade calls from a pair of birds moving low through greasewood and sagebrush. These calls given most vigorously right after one of the pair flew in to the same bush where the other was perched, a la brush-finch pair excitement calls.",none,success
XC109951,Amphispiza bilineata,Amphispiza,bilineata,,Black-throated Sparrow,call,,,0,2012-04-30,10:40,,Rating,39.1717,-109.0207,1400,E,"natural vocalization; cascade calls from a pair of birds moving low through greasewood and sagebrush. These calls given most vigorously right after one of the pair flew in to the same bush where the other was perched, a la brush-finch pair excitement calls.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; cascade calls from a pair of birds moving low through greasewood and sagebrush. These calls given most vigorously right after one of the pair flew in to the same bush where the other was perched, a la brush-finch pair excitement calls.",none,success
XC110078,Spatula discors,Spatula,discors,,Blue-winged Teal,call,"male, female",,0,2012-06-08,11:00,,Rating,48.731,-102.703,750,E,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling.",none,success
XC110079,Spatula discors,Spatula,discors,,Blue-winged Teal,call,"male, female",,0,2012-06-08,11:00,,Rating,48.731,-102.703,750,E,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling. The males are giving the high-pitched, weezy calls, and the female the lower-pitched, more quack-like ones.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling. The males are giving the high-pitched, weezy calls, and the female the lower-pitched, more quack-like ones.",none,success
XC110080,Spatula discors,Spatula,discors,,Blue-winged Teal,call,"male, female",,0,2012-06-08,11:00,,Rating,48.731,-102.703,750,E,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling. The males are giving the high-pitched, weezy calls, and the female the lower-pitched, more quack-like ones.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"natural vocalization; calls from two males and a female all fighting on a small pothole. One of the males and the female seemed to be a pair, and the second male would encroach on to their part of the pothole, inducing long bouts of vigorous calling. The males are giving the high-pitched, weezy calls, and the female the lower-pitched, more quack-like ones.",none,success
XC110081,Spatula discors,Spatula,discors,,Blue-winged Teal,call,male,,0,2012-06-08,08:00,,Rating,48.731,-102.703,750,E,natural vocalization; calls from a single male near the edge of a large prarie pothole.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,natural vocalization; calls from a single male near the edge of a large prarie pothole.,Pied-billed Grebe Podilymbus podiceps,success
XC110813,Calypte anna,Calypte,anna,,Anna's Hummingbird,flight,,,0,2012-09-05,07:26,,Rating,37.3144,-122.0632,100,E,Flying past me (within 5 ft) in suburban nature preserve.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Flying past me (within 5 ft) in suburban nature preserve.,none,success
XC111040,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,call,,,0,2012-10-13,08:12,,Rating,44.84,-93.236,220,E,Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.,Creative Commons Attribution-ShareAlike 3.0,"Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.
Filtered low frequencies for wind and water noise.",from water flowing over a beaver dam.,success
XC111041,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,call,,,0,2012-10-13,08:12,,Rating,44.84,-93.236,220,E,Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.,Creative Commons Attribution-ShareAlike 3.0,"Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.
One interval shortened at the end of cut. Filtered low frequencies for wind and water noise.",from water flowing over a beaver dam.,success
XC111042,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,call,,,0,2012-10-13,08:15,,Rating,44.84,-93.236,220,E,Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.,Creative Commons Attribution-ShareAlike 3.0,"Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.
Filtered low frequencies for wind and water noise.",from water flowing over a beaver dam.,success
XC111043,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,call,,,0,2012-10-13,08:21,,Rating,44.84,-93.236,220,E,Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.,Creative Commons Attribution-ShareAlike 3.0,"Calls from several migrating individuals foraging and chasing eachother around mudflats at the edge of typha marsh. Some noise in the background from water flowing over a beaver dam.
Filtered low frequencies for wind and water noise.",from water flowing over a beaver dam.,success
XC111138,Toxostoma rufum,Toxostoma,rufum,,Brown Thrasher,alarm,,,0,2012-09-23,07:30,,Rating,35.7143,-83.8427,600,E,None given,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,None given,none,success
XC111139,Toxostoma rufum,Toxostoma,rufum,,Brown Thrasher,alarm,,,0,2012-10-07,09:30,,Rating,35.9439,-83.6889,260,E,None given,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,None given,none,success
XC112499,Passerina caerulea,Passerina,caerulea,,Blue Grosbeak,alarm,,,0,2012-09-09,18:39,,Rating,33.249,-82.103,90,E,None given,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,None given,American Crow Corvus brachyrhynchos,success
XC112501,Dolichonyx oryzivorus,Dolichonyx,oryzivorus,,Bobolink,call,,,0,2012-05-05,09:20,,Rating,33.3847,-81.9647,40,E,Hundreds of Bobolinks in a field of cordgrass.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Hundreds of Bobolinks in a field of cordgrass.,none,success
XC112502,Toxostoma rufum,Toxostoma,rufum,,Brown Thrasher,song,,adult,0,2012-03-08,11:48,,Rating,33.3198,-82.0069,120,E,Three adults all calling simultaneously in an oak grove.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Three adults all calling simultaneously in an oak grove.,Northern Cardinal Cardinalis cardinalis,success
XC112579,Passerina caerulea,Passerina,caerulea,,Blue Grosbeak,begging,,juvenile,0,2012-09-25,03:30,,Rating,34.9224,-112.2755,1200,E,Two juvenile birds vocalizing close to the Verde River in a thicket of willows.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Two juvenile birds vocalizing close to the Verde River in a thicket of willows.,none,success
XC112598,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0,2012-11-12,08:30,,Rating,44.942,-93.259,260,E,A couple of crows calling from about 10m up in neighboring Cottonwood trees.,Creative Commons Attribution-ShareAlike 3.0,"A couple of crows calling from about 10m up in neighboring Cottonwood trees.
The most interesting part of the cut may also be the most difficult to hear. Toward the end of the cut, one of the crows appears to be taking gulps of air and then hunching its back with its bill tucked down into its chest while making soft hoo-woo sounds @ approx 600Hz. There are 3 of these sounds: at 1:52, 1:57, and 2:03.
Also includes a rattle call toward the end.",Dark-eyed Junco Junco hyemalis,success
XC112829,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0,2012-11-16,08:54,,Rating,44.942,-93.259,260,E,None given,Creative Commons Attribution-ShareAlike 3.0,None given,Hairy Woodpecker Leuconotopicus villosus,success
XC113485,Archilochus alexandri,Archilochus,alexandri,,Black-chinned Hummingbird,call,,,0,2012-08-25,16:00,,Rating,31.5,-110.818,1200,E,Chase vocalizations from several individuals around feeders at ranch house amid Prosopis desert scrub near wooded creek.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Chase vocalizations from several individuals around feeders at ranch house amid Prosopis desert scrub near wooded creek.,Yellow-breasted Chat Icteria virens,success
XC113486,Archilochus alexandri,Archilochus,alexandri,,Black-chinned Hummingbird,call,male,adult,0,2012-08-25,16:30,,Rating,31.5,-110.818,1200,E,"Wing ring from an adult male bird at feeders, as well as a single 'see' and 'chuck' note.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"Wing ring from an adult male bird at feeders, as well as a single 'see' and 'chuck' note.",Yellow-breasted Chat Icteria virens,success
XC113721,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,song,,,0,2012-07-12,07:30,,Rating,55.5862,157.5956,1200,E,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.
They have another alarm call, they may fly in circles above and around you calling for a short time before they leave. I guess they do that when you are close to the nest... but not always. The call was a short high note but I am not sure if I recorded it, I don't find it ( I am afraid I mixed it with the call of Luscinia svecica).",none,success
XC113723,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,song,,,0,2012-07-12,07:30,,Rating,55.5862,157.5956,1200,E,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.
They have another alarm call, they may fly in circles above and around you calling for a short time before they leave. I guess they do that when you are close to the nest... but not always. The call was a short high note but I am not sure if I recorded it, I don't find it ( I am afraid I mixed it with the call of Luscinia svecica).",none,success
XC113724,Anthus rubescens,Anthus,rubescens,,Buff-bellied Pipit,song,,,0,2012-07-12,07:30,,Rating,55.5862,157.5956,1200,E,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"They sing this song in a display flight, first going up and then falling in ""parachutting"". They were in the alpine tundra, we found many nests.
They have another alarm call, they may fly in circles above and around you calling for a short time before they leave. I guess they do that when you are close to the nest... but not always. The call was a short high note but I am not sure if I recorded it, I don't find it ( I am afraid I mixed it with the call of Luscinia svecica).",none,success
XC113808,Spizella breweri,Spizella,breweri,,Brewer's Sparrow,song,,,0,2012-06-17,08:38,,Rating,39.764,-120.354,1500,E,Very similar song to one recorded in same location 2 years prior. Compare with XC65372.,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Very similar song to one recorded in same location 2 years prior. Compare with XC65372.,none,success
XC113814,Euphagus cyanocephalus,Euphagus,cyanocephalus,,Brewer's Blackbird,song,,,0,2012-06-17,10:26,,Rating,39.764,-120.354,1500,E,"Mated (?) pair along roadside, with approaching traffic.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"Mated (?) pair along roadside, with approaching traffic.",Marsh Wren Cistothorus palustris,success
XC113820,Certhia americana,Certhia,americana,,Brown Creeper,song,,,0,2012-06-19,06:20,,Rating,39.698,-120.453,1500,E,"Typical song, sung from amid a Jeffrey Pine grove. Some very distant chainsaw noise.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,"Typical song, sung from amid a Jeffrey Pine grove. Some very distant chainsaw noise.",Red-breasted Nuthatch Sitta canadensis,success
