recording_id,scientific_name,genus,species,subspecies,english_name,call_type,sex,life_stage,duration_seconds,date,time,country,location,latitude,longitude,altitude,quality,quality_flag,description,license,remarks,background_species,status
XC172751,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2013-05-27,11:10,,Rating,37.1388,-103.0875,1500.0,,unknown,Same session and individual as XC172750. Aggressive territorial song given in response to playback. Bird had been on other side of stream back and then flew closer in. Habitat is semi-arid grassland and canyon riparian.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Same session and individual as XC172750. Aggressive territorial song given in response to playback. Bird had been on other side of stream back and then flew closer in. Habitat is semi-arid grassland and canyon riparian.,Mourning Dove Zenaida macroura,success
XC172752,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2013-05-27,11:15,,Rating,37.1388,-103.0875,1500.0,,unknown,"Same individual as XC172751. Aggressive territorial song given in response to playback, but this is a different song type. Bird had been on other side of stream back and then flew closer in. Habitat is semi-arid grassland and canyon riparian.",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Same individual as XC172751. Aggressive territorial song given in response to playback, but this is a different song type. Bird had been on other side of stream back and then flew closer in. Habitat is semi-arid grassland and canyon riparian.",Chihuahuan Raven Corvus cryptoleucus,success
XC172821,Pheucticus melanocephalus,Pheucticus,melanocephalus,,Black-headed Grosbeak,song,,,0.0,2013-05-28,11:04,,Rating,37.506,-103.5463,1700.0,,unknown,Responding to playback of Hepatic Tanager song. Flew to top of juniper about 25m from recordist. Habitat is pinyon-juniper woodland in canyon country.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Responding to playback of Hepatic Tanager song. Flew to top of juniper about 25m from recordist. Habitat is pinyon-juniper woodland in canyon country.,none,success
XC172859,Botaurus lentiginosus,Botaurus,lentiginosus,,American Bittern,flight,,,0.0,2014-03-11,11:03,,Rating,28.5785,-80.9961,0.0,,unknown,flight across marsh away from me,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,flight across marsh away from me,none,success
XC172860,Botaurus lentiginosus,Botaurus,lentiginosus,,American Bittern,flight,,,0.0,2014-03-16,11:03,,Rating,28.5785,-80.9961,0.0,,unknown,flight across marsh away from me,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,flight across marsh away from me,none,success
XC172875,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0.0,2012-03-24,08:40,,Rating,32.6809,-116.8189,240.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Ruby-crowned Kinglet Corthylio calendula,success
XC172878,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,flight,,,0.0,2012-12-07,08:26,,Rating,32.6809,-116.8189,240.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172881,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0.0,2013-11-24,08:42,,Rating,27.9368,-81.2252,20.0,,unknown,perched on fence in ranch grasslands,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,perched on fence in ranch grasslands,Eastern Meadowlark Sturnella magna,success
XC172882,Corvus brachyrhynchos,Corvus,brachyrhynchos,,American Crow,call,,,0.0,2013-11-24,08:43,,Rating,27.9368,-81.2252,20.0,,unknown,perched on fence in ranch grasslands,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,perched on fence in ranch grasslands,none,success
XC172886,Mareca americana,Mareca,americana,,American Wigeon,call,,,0.0,2012-02-09,11:27,,Rating,32.233,-109.8269,1300.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Killdeer Charadrius vociferus,success
XC172887,Mareca americana,Mareca,americana,,American Wigeon,call,,,0.0,2012-03-23,09:54,,Rating,32.564,-117.1256,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172888,Mareca americana,Mareca,americana,,American Wigeon,call,,,0.0,2012-03-03,10:15,,Rating,32.564,-117.1256,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,House Finch Haemorhous mexicanus,success
XC172889,Mareca americana,Mareca,americana,,American Wigeon,call,,,0.0,2012-03-04,10:53,,Rating,32.564,-117.1256,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172890,Mareca americana,Mareca,americana,,American Wigeon,call,,,0.0,2012-03-22,10:45,,Rating,32.564,-117.1256,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172892,Strix varia,Strix,varia,,Barred Owl,call,,,0.0,2014-03-15,07:30,,Rating,28.5785,-80.9961,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172893,Strix varia,Strix,varia,,Barred Owl,call,,,0.0,2014-03-23,07:40,,Rating,28.5785,-80.9961,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172900,Mniotilta varia,Mniotilta,varia,,Black-and-white Warbler,song,,,0.0,2014-03-21,08:07,,Rating,28.6456,-80.7199,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Tufted Titmouse Baeolophus bicolor,success
XC172902,Mniotilta varia,Mniotilta,varia,,Black-and-white Warbler,call,,,0.0,2014-03-31,08:38,,Rating,28.6456,-80.7199,0.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Tufted Titmouse Baeolophus bicolor,success
XC172914,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2012-05-26,08:16,,Rating,44.9194,-70.5243,800.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172915,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2012-05-23,11:57,,Rating,44.6967,-67.1484,30.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172916,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2012-05-26,08:55,,Rating,44.9194,-70.5243,800.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172917,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2012-06-01,09:10,,Rating,44.7596,-71.7298,360.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Golden-crowned Kinglet Regulus satrapa,success
XC172919,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2011-05-24,11:18,,Rating,45.8321,-88.9155,500.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172920,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2011-05-26,09:41,,Rating,45.8321,-88.9155,500.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC172922,Setophaga fusca,Setophaga,fusca,,Blackburnian Warbler,song,,,0.0,2011-05-21,07:07,,Rating,42.9734,-91.1313,320.0,,unknown,migrant,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,migrant,American Goldfinch Spinus tristis,success
XC172934,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-17,08:31,,Rating,42.758,-70.801,0.0,,unknown,migrant,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,migrant,American Yellow Warbler Setophaga aestiva,success
XC172935,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-17,09:58,,Rating,42.758,-70.801,0.0,,unknown,migrant,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,migrant,none,success
XC172936,Spizella breweri,Spizella,breweri,,Brewer's Sparrow,song,,,0.0,2013-06-10,06:06,,Rating,39.4796,-107.1201,2200.0,,unknown,Simpler buzzy song from bird perched atop a sagebrush not far from roadside. Habitat is upland sagebrush ranchland.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Simpler buzzy song from bird perched atop a sagebrush not far from roadside. Habitat is upland sagebrush ranchland.,Western Meadowlark Sturnella neglecta,success
XC172937,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-17,10:23,,Rating,42.758,-70.801,0.0,,unknown,migrant,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,migrant,American Redstart Setophaga ruticilla,success
XC172939,Spizella breweri,Spizella,breweri,,Brewer's Sparrow,song,,,0.0,2013-06-10,07:00,,Rating,39.4854,-107.1971,2200.0,,unknown,"More familiar multisyllabic song. Habitat is mixed grassland/sagebrush mountain valley. Signal amplified several dB, and noise below 100 Hz filtered.",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"More familiar multisyllabic song. Habitat is mixed grassland/sagebrush mountain valley. Signal amplified several dB, and noise below 100 Hz filtered.",Western Meadowlark Sturnella neglecta,success
XC172956,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-26,10:51,,Rating,44.9194,-70.5243,800.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Ruby-crowned Kinglet Corthylio calendula,success
XC172960,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-06-02,21:41,,Rating,45.1988,-71.162,600.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Wilson's Warbler Cardellina pusilla,success
XC172962,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-28,09:40,,Rating,44.3799,-73.8875,1200.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Myrtle Warbler Setophaga coronata,success
XC172966,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,song,,,0.0,2012-05-28,09:54,,Rating,44.3799,-73.8875,1200.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Ruby-crowned Kinglet Corthylio calendula,success
XC172971,Passerina caerulea,Passerina,caerulea,,Blue Grosbeak,song,,,0.0,2013-06-13,07:09,,Rating,39.9932,-105.2221,1600.0,,unknown,Typical song given from medium-height landscaping and open-space trees in and around rec center parking area.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Typical song given from medium-height landscaping and open-space trees in and around rec center parking area.,Red-winged Blackbird Agelaius phoeniceus,success
XC172978,Setophaga striata,Setophaga,striata,,Blackpoll Warbler,call,,,0.0,2012-05-28,10:32,,Rating,44.3799,-73.8875,1200.0,,unknown,"high up on trail in spruce-fir forest, I presumed at the time that it was a Blackpoll Warbler and call matched this: http://macaulaylibrary.org/audio/141105",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"high up on trail in spruce-fir forest, I presumed at the time that it was a Blackpoll Warbler and call matched this: http://macaulaylibrary.org/audio/141105",Nashville Warbler Leiothlypis ruficapilla,success
XC173148,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2014-01-01,08:23,,Rating,31.901,-109.2288,1800.0,,unknown,Simple 2-phrase song characteristic of SW USA. 2 song types in the cut. Given from high perch ~30m from recordist. Habitat is Madrean pine/juniper canyon woodlands.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Simple 2-phrase song characteristic of SW USA. 2 song types in the cut. Given from high perch ~30m from recordist. Habitat is Madrean pine/juniper canyon woodlands.,White-breasted Nuthatch Sitta carolinensis,success
XC173150,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2014-01-01,08:42,,Rating,31.901,-109.2288,1800.0,,unknown,Same recording session as XC173149. This cut actually precedes that one in time. Typical 2-phrase song given from open perch in oaks. Noise from rubber flexing of microphone windguard at start of cut. Signal amplified several dB. Habitat is Madrean pine/juniper canyon woodlands.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Same recording session as XC173149. This cut actually precedes that one in time. Typical 2-phrase song given from open perch in oaks. Noise from rubber flexing of microphone windguard at start of cut. Signal amplified several dB. Habitat is Madrean pine/juniper canyon woodlands.,Bridled Titmouse Baeolophus wollweberi,success
XC173153,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2014-01-01,08:55,,Rating,31.901,-109.2288,1800.0,,unknown,Typical 2-phrase song characteristic of birds from SW USA. Habitat is Madrean oak/pine/juniper canyon woodlands.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Typical 2-phrase song characteristic of birds from SW USA. Habitat is Madrean oak/pine/juniper canyon woodlands.,none,success
XC173154,Thryomanes bewickii,Thryomanes,bewickii,,Bewick's Wren,song,,,0.0,2014-01-01,09:00,,Rating,31.901,-109.2288,1800.0,,unknown,"Same individual as in XC173753, but he switches to new song type 2 strophes into the cut. Habitat is Madrean oak/pine/juniper canyon woodlands.",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"Same individual as in XC173753, but he switches to new song type 2 strophes into the cut. Habitat is Madrean oak/pine/juniper canyon woodlands.",none,success
XC173172,Sayornis nigricans,Sayornis,nigricans,,Black Phoebe,call,,,0.0,2014-01-04,10:34,,Rating,31.6071,-111.041,950.0,,unknown,Call notes from perched bird foraging in creek drainage near trail. Signal amplified several dB.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Call notes from perched bird foraging in creek drainage near trail. Signal amplified several dB.,Northern Flicker Colaptes auratus,success
XC173184,Calypte anna,Calypte,anna,,Anna's Hummingbird,song,,,0.0,2014-01-04,14:30,,Rating,32.2333,-111.0229,750.0,,unknown,Song given from bird perched on ocotillo 15m from recordist. Silence gap spans about 40 seconds. Pedestrian traffic in dry wash beyond the bird toward the end of the cut (seriously dude?) Noise below 180 Hz filtered and signal amplified several dB. Habitat is Sonoran desert scrubland.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,Song given from bird perched on ocotillo 15m from recordist. Silence gap spans about 40 seconds. Pedestrian traffic in dry wash beyond the bird toward the end of the cut (seriously dude?) Noise below 180 Hz filtered and signal amplified several dB. Habitat is Sonoran desert scrubland.,Gila Woodpecker Melanerpes uropygialis,success
XC173254,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0.0,2012-05-21,07:10,,Rating,44.6967,-67.1484,30.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Hermit Thrush Catharus guttatus,success
XC173257,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0.0,2012-05-23,10:49,,Rating,44.6967,-67.1484,30.0,,unknown,I think there was one call note from this bird,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,I think there was one call note from this bird,American Goldfinch Spinus tristis,success
XC173260,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0.0,2012-05-23,11:06,,Rating,44.6967,-67.1484,30.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Dark-eyed Junco Junco hyemalis,success
XC173261,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0.0,2012-05-23,11:50,,Rating,44.6967,-67.1484,30.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Northern Parula Setophaga americana,success
XC173263,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,call,,,0.0,2012-05-23,07:52,,Rating,44.8501,-67.1944,20.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC173264,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,song,,,0.0,2012-05-21,07:20,,Rating,44.4305,-67.8906,10.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC173265,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,call,,,0.0,2012-05-24,09:11,,Rating,44.4729,-67.5789,10.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC173267,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,call,,,0.0,2012-05-29,09:52,,Rating,44.3659,-73.9026,1500.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,none,success
XC173268,Setophaga virens,Setophaga,virens,,Black-throated Green Warbler,call,,,0.0,2011-05-26,09:19,,Rating,45.8321,-88.9155,500.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Pine Warbler Setophaga pinus,success
XC173282,Polioptila caerulea,Polioptila,caerulea,,Blue-grey Gnatcatcher,call,,,0.0,2014-04-01,09:01,,Rating,28.5037,-80.9798,10.0,,unknown,"called as feeding in oak, second bird called occasionally with more typical calls,",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"called as feeding in oak, second bird called occasionally with more typical calls,
some bill snaps and other feeding sounds",Great Crested Flycatcher Myiarchus crinitus,success
XC173283,Polioptila caerulea,Polioptila,caerulea,,Blue-grey Gnatcatcher,call,,,0.0,2014-04-01,10:27,,Rating,28.5037,-80.9798,10.0,,unknown,None given,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,None given,Pine Warbler Setophaga pinus,success
XC173306,Spatula discors,Spatula,discors,,Blue-winged Teal,call,,,0.0,2014-02-26,10:41,,Rating,28.6902,-80.7137,0.0,,unknown,calls from a dense flock of 5 dozen feeding BW Teals in shallow water marsh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,calls from a dense flock of 5 dozen feeding BW Teals in shallow water marsh,none,success
XC173312,Spatula discors,Spatula,discors,,Blue-winged Teal,flight,"male, female",,0.0,2014-02-26,07:57,,Rating,28.7599,-80.798,0.0,,unknown,"six in flight from marsh, I think only one female",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"six in flight from marsh, I think only one female
I didn't see which birds called in the flock but I presume female quacks, and fainter male clucks and high-pitched calls",none,success
XC173313,Spatula discors,Spatula,discors,,Blue-winged Teal,flight,"male, female",,0.0,2014-02-26,07:57,,Rating,28.7599,-80.798,0.0,,unknown,dozen in flight from marsh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"dozen in flight from marsh
I presume female quacks and fainter male clucks",none,success
XC173315,Spatula discors,Spatula,discors,,Blue-winged Teal,flight,"male, female",,0.0,2014-03-23,11:09,,Rating,28.5785,-80.9961,0.0,,unknown,flight from marsh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,flight from marsh,none,success
XC173319,Spatula discors,Spatula,discors,,Blue-winged Teal,call,"male, female",,0.0,2014-02-26,08:06,,Rating,28.7599,-80.798,0.0,,unknown,"dozens of BW Teals present in marsh, I didn't see the exact birds that were calling",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"dozens of BW Teals present in marsh, I didn't see the exact birds that were calling
presumed female quacks at takeoff at beginning of recording, presumed male clucks and faint high-pitched calls from marsh, presumed female quacks from marsh later in recording",none,success
XC173321,Spatula discors,Spatula,discors,,Blue-winged Teal,call,"male, female",,0.0,2014-03-23,11:15,,Rating,28.5785,-80.9961,0.0,,unknown,"female quacks, with dozen noisy BB Whistling Ducks in marsh",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,"female quacks, with dozen noisy BB Whistling Ducks in marsh",Black-bellied Whistling Duck Dendrocygna autumnalis,success
