xc_id,species_scientific,species_english,country,location,latitude,longitude,date,time,recordist,quality,length,type,scraped_at,length_seconds,url,file_name
475299,Setophaga nigrescens,Black-throated Grey Warbler,United States,"Cold Creek, Clark County, Nevada",36.4026,,2019-05-12,05:00,Bobby Wilcox,B,0:14,song,2026-02-19T14:11:32.042477,,,
323704,Icterus galbula,Baltimore Oriole,United States,"Red River National Wildlife Refuge- Headquarters Unit, Bossier Parish, Louisiana",32.447,,2015-05-31,08:00,Terry Davis,B,0:41,"call, song",2026-02-19T14:11:33.814947,,,
418303,Artemisiospiza belli,Bell's Sparrow,United States,"Camp Bonanza Road, Clark County, Nevada",36.3918,,2018-05-10,06:00,Bobby Wilcox,C,0:46,song,2026-02-19T14:11:35.665478,,,
303471,Spizelloides arborea,American Tree Sparrow,United States,"Boulder, Colorado",40.016,,2016-02-14,15:10,Ted Floyd,A,0:01,flight call,2026-02-19T14:11:37.489180,,,
65612,Selasphorus platycercus,Broad-tailed Hummingbird,Mexico,"Volcan de Fuego, E slope, Jalisco",19.531,,2001-02-17,10:00,Daniel Lane,A,0:07,call,2026-02-19T14:11:39.496136,,,
191379,Strix varia,Barred Owl,United States,"West Mount Vernon, Kennebec County, Maine",44.4541,,2014-08-17,20:48,Lance A. M. Benner,A,0:24,begging call,2026-02-19T14:11:41.251633,,,
183334,Setophaga fusca,Blackburnian Warbler,United States,"Burrillville, Providence County, Rhode Island",41.9661,,2014-06-20,11:30,Dylan Pedro,C,0:03,song,2026-02-19T14:11:42.992321,,,
174538,Toxostoma rufum,Brown Thrasher,United States,"Skidaway Island, Chatham County, GA USA",31.9237,,2014-04-13,07:30,Russ Wigh,A,1:48,song,2026-02-19T14:11:44.935503,,,
122826,Myiarchus cinerascens,Ash-throated Flycatcher,United States,"Round Valley, Chiricahua Mountains, Cochise Co., Arizona",31.957,,2011-07-10,07:00,Richard E. Webster,A,0:41,call,2026-02-19T14:11:46.789595,,,
321551,Cyanocitta cristata,Blue Jay,United States,"Fort Collins, Larimer County, Colorado",40.5689,,2016-06-12,19:00,Nick Komar,A,0:09,begging call,2026-02-19T14:11:48.615629,,,
371044,Setophaga caerulescens,Black-throated Blue Warbler,United States,"Montrose Point Bird Sanctuary, Chicago, Cook County, Illinois",41.9635,,2017-05-20,07:43,Matt Wistrand,A,2:32,"call, song",2026-02-19T14:11:50.432613,,,
180259,Polioptila caerulea,Blue-grey Gnatcatcher,United States,"Trail Wood Sanctuary, Hampton, Windham County, Connecticut",41.8087,,2014-05-25,18:00,Jorge de Leon Cardozo and Susan Hochgraf,A,0:23,song,2026-02-19T14:11:52.328682,,,
127371,Botaurus lentiginosus,American Bittern,Canada,"Swan Lake, Victoria, British Columbia",48.461,,2013-03-25,21:45,Alejandro Erickson,C,0:20,"song, clicking, pumping",2026-02-19T14:11:54.215206,,,
163063,Chroicocephalus philadelphia,Bonaparte's Gull,United States,"Parsons Beach Rd, Kennebunk, Maine",43.3463,,2012-05-18,15:29,Paul Marvin,A,0:47,flight call,2026-02-19T14:11:55.921258,,,
263483,Polioptila caerulea,Blue-grey Gnatcatcher,United States,"Santa Rosa Road, Santa Rosa Mountains, Riverside County, California",33.5426,,2015-05-03,14:22,Lance A. M. Benner,A,0:25,call,2026-02-19T14:11:57.801431,,,
346077,Spatula discors,Blue-winged Teal,United States,"Viera Wetlands, Florida",28.2267,,2016-12-12,08:11,Paul Marvin,A,0:10,"call, flight call",2026-02-19T14:11:59.554544,,,
309641,Corvus brachyrhynchos,American Crow,United States,"Sault Ste. Marie, Chippewa County, Michigan",46.4906,,2016-03-26,14:30,Antonio Xeira,A,0:07,call,2026-02-19T14:12:01.378373,,,
297540,Psaltriparus minimus,American Bushtit,United States,"Pinnacles Trail, Big Bend NP, Brewster Co. TX",29.269,,2015-03-26,09:00,Ross Gallardy,A,0:21,call,2026-02-19T14:12:03.160794,,,
198579,Toxostoma rufum,Brown Thrasher,United States,"Conchas Lake, San Miguel County, New Mexico",35.374,,2014-10-11,11:30,Matt Baumann,C,0:27,"call, song, smack calls",2026-02-19T14:12:05.079408,,,
409610,Setophaga virens,Black-throated Green Warbler,United States,"Great Smoky Mountains National Park, Schoolhouse Gap Trail, Blount County, Tennessee",35.6345,,2018-04-06,09:30,Bates Estabrooks,C,0:08,song,2026-02-19T14:12:06.859384,,,
149286,Megaceryle alcyon,Belted Kingfisher,United States,"Viera Wetlands, Florida",28.2267,,2013-09-21,08:37,Paul Marvin,B,0:19,flight call,2026-02-19T14:12:08.602524,,,
244573,Vireo solitarius,Blue-headed Vireo,United States,"Curtis S. Read Scout Reservation, Brant Lake, New York",,,2015-05-16,05:30,Daniel Parker,B,0:43,song,2026-02-19T14:12:10.604355,,,
470789,Calidris bairdii,Baird's Sandpiper,Argentina,"Río Chico Department, Santa Cruz Province",-48.4713,,2019-02-10,18:00,Bobby Wilcox,B,1:07,call,2026-02-19T14:12:12.371235,,,
116056,Megaceryle alcyon,Belted Kingfisher,United States,"Bombay Hook NWR, Kent, Delaware",39.2518,,2012-12-28,16:35,Daniel Parker,D,0:16,flight call,2026-02-19T14:12:14.135772,,,
254066,Vermivora cyanoptera,Blue-winged Warbler,United States,"Red River National Wildlife Refuge- Headquarters Unit, Bossier Parish, Louisiana",32.447,,2015-04-11,07:52,Terry Davis,D,0:15,song,2026-02-19T14:12:15.943736,,,
324947,Setophaga striata,Blackpoll Warbler,Canada,"Forêt Montmorency, La Côte-de-Beaupré, Québec",47.3197,,2016-06-11,06:36,Martin St-Michel,A,1:00,song,2026-02-19T14:12:18.311980,,,
385601,Spatula discors,Blue-winged Teal,Venezuela,"Jiménez, Lara",9.9813,,2011-03-18,08:00,Albert Lastukhin,C,0:10,call,2026-02-19T14:12:20.271894,,,
344965,Spinus tristis,American Goldfinch,Canada,"Halifax (near  Jeddore Oyster Ponds), Halifax Regional Municipality, Nova Scotia",44.7803,,2006-08-18,08:00,Lucas Berrigan,B,0:13,call,2026-02-19T14:12:22.450644,,,
217811,Icterus galbula,Baltimore Oriole,United States,"Wyalusing State Park, Wisconsin",42.9734,,2011-05-22,07:50,Paul Marvin,B,0:09,call,2026-02-19T14:12:24.304988,,,
375900,Setophaga nigrescens,Black-throated Grey Warbler,United States,"Desatoya Range, Lander County, Nevada",39.3636,,2017-06-08,12:00,Bobby Wilcox,C,0:48,song,2026-02-19T14:12:26.067542,,,
384027,Turdus migratorius,American Robin,United States,"Riviera Rd, backyard",38.0266,,2015-07-10,?,Antonio Xeira,A,0:34,song,2026-02-19T14:12:27.830405,,,
252235,Hirundo rustica,Barn Swallow,Spain,"L'Anoia (near  El Bruc), Barcelona, Catalunya",41.6146,,2015-06-09,12:10,Jordi Calvet,B,0:05,flight call,2026-02-19T14:12:29.972298,,,
459759,Artemisiospiza belli,Bell's Sparrow,United States,"Carrizo Plain National Monument (near  Santa Margarita), San Luis Obispo County, California",35.2396,,2019-02-24,9:21,Thomas G. Graves,B,0:07,"call, song, twitter and partial song.",2026-02-19T14:12:31.812646,,,
254960,Passerina caerulea,Blue Grosbeak,United States,"Riviera Rd, backyard",38.0266,,2015-07-02,17:00,Antonio Xeira,A,0:46,song,2026-02-19T14:12:33.571109,,,
190957,Setophaga striata,Blackpoll Warbler,Canada,"Azouzetta Lake, Pine Pass, British Columbia",55.3977,,2014-06-20,13:31,Richard E. Webster,B,2:21,song,2026-02-19T14:12:35.417512,,,
471591,Hirundo rustica,Barn Swallow,France,"Rogliano, Haute-Corse, Corse",42.965,,2019-04-06,07:00,Stanislas Wroza,B,0:06,"call, flight call",2026-02-19T14:12:37.330870,,,
269473,Toxostoma rufum,Brown Thrasher,United States,"Cocoa, my yard, Brevard County, Florida",28.4037,,2015-06-17,09:54,Paul Marvin,A,7:03,song,2026-02-19T14:12:39.146353,,,
139608,Setophaga caerulescens,Black-throated Blue Warbler,United States,"Appalachian Trail, near New Found Gap, Sevier, Tennessee",35.6151,,2013-06-23,12:30,Mike Nelson,A,0:19,song,2026-02-19T14:12:41.169388,,,
378710,Hirundo rustica,Barn Swallow,Switzerland,"Minusio, Crocifisso (near  Minusio), Locarno, Ticino",46.1784,,2017-07-03,09:30,Roby,B,0:17,"call, song",2026-02-19T14:12:43.010715,,,
289049,Calypte anna,Anna's Hummingbird,United States,"Quail Hollow, San Bernardino County, California",34.2599,,2013-05-16,10:05,Lauren Harter,B,0:38,"begging call, song",2026-02-19T14:12:44.779064,,,
424738,Corvus brachyrhynchos,American Crow,United States,"Willow Bend / Rio de Flag, Coconino County, Arizona",35.1884,,2018-07-12,06:30,Parker Davis,A,0:45,"call, juvenile babble",2026-02-19T14:12:46.610409,,,
282797,Archilochus alexandri,Black-chinned Hummingbird,United States,"Palo Verde Ecological Reserve-Phase 3B, Blythe, Riverside County, California",33.6846,,2015-05-08,09:00,Eric Hough,A,0:13,begging call,2026-02-19T14:12:49.574275,,,
473376,Artemisiospiza belli,Bell's Sparrow,United States,"Boundary Cone Road, Mohave Valley, Mohave County, Arizona",34.9678,,2014-02-15,08:30,Lauren Harter,B,0:13,alarm call,2026-02-19T14:12:51.363125,,,
254300,Vermivora cyanoptera,Blue-winged Warbler,United States,"10 (near  Shreveport), Caddo Parish, Louisiana",32.4954,,2015-04-13,15:41,Terry Davis,D,0:08,song,2026-02-19T14:12:53.171863,,,
196699,Passerina caerulea,Blue Grosbeak,United States,"Portal, Cochise County, Arizona",31.912,,2014-08-24,08:30,Dan Lane,B,1:32,song,2026-02-19T14:12:54.930724,,,
132216,Calypte anna,Anna's Hummingbird,United States,"Portal, Arizona",31.906,,2011-06-30,07:20,Richard E. Webster,B,0:08,call,2026-02-19T14:12:56.774207,,,
390831,Setophaga striata,Blackpoll Warbler,Portugal,"Riberia Poco do Agua, Corvo, Açores",39.6976,,2017-10-20,12:00,Marcin Sołowiej,A,0:28,call,2026-02-19T14:12:58.770779,,,
384954,Euphagus cyanocephalus,Brewer's Blackbird,United States,"Centennial Park, Santa Ana, Orange County, California",33.7251,,2017-01-16,09:19,Paul Marvin,A,0:27,call,2026-02-19T14:13:00.734497,,,
196542,Setophaga fusca,Blackburnian Warbler,United States,"Concord, Middlesex, Massachusetts",42.4786,,2014-09-22,20:50,Cole W.,B,0:01,flight call,2026-02-19T14:13:02.530511,,,
142218,Strix varia,Barred Owl,United States,"Savannah, Chatham, Georgia",31.9302,,2013-07-10,16:00,Russ Wigh,B,0:31,"alarm call, call, screeching call",2026-02-19T14:13:04.341427,,,
168094,Cyanocitta cristata,Blue Jay,United States,"Elkins Park, PA",40.0626,,2008-05-02,08:00,Paul Driver,A,0:10,call,2026-02-19T14:13:06.210847,,,
283608,Passerina caerulea,Blue Grosbeak,United States,"Havasu National Wildlife Refuge (near  Topock), Mohave, Arizona",34.7753,,2014-07-27,06:40,David Vander Pluym,A,1:51,song,2026-02-19T14:13:08.049783,,,
367594,Pheucticus melanocephalus,Black-headed Grosbeak,United States,"Eastside Bosque, South Valley, Bernalillo County, New Mexico",35.0065,,2017-05-02,09:49,Vicki Dern,A,1:31,song,2026-02-19T14:13:09.888842,,,
321636,Buteo platypterus,Broad-winged Hawk,United States,"Stanton, Powell County, Kentucky",37.8088,,2015-07-21,?,Antonio Xeira,A,0:36,call,2026-02-19T14:13:11.630984,,,
367805,Molothrus ater,Brown-headed Cowbird,United States,"Tamarack Ranch SWA, E Sector, Logan County, Colorado",40.841,,2016-06-01,08:55,Eric DeFonso,B,0:36,song,2026-02-19T14:13:13.519630,,,
152339,Chroicocephalus philadelphia,Bonaparte's Gull,Canada,"Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,,2013-06-02,22:00,Dugan Maynard,B,0:16,call,2026-02-19T14:13:15.321417,,,
141677,Setophaga nigrescens,Black-throated Grey Warbler,Canada,"Coquitlam, Greater Vancouver, British Columbia",49.2915,,2013-07-01,9:40,Kevin Hood,B,4:00,"begging call, call",2026-02-19T14:13:17.090203,,,
335127,Strix varia,Barred Owl,United States,"Penn Township (near  Woodward), Centre County, Pennsylvania",40.834,,2016-09-03,05:30,Joe Gyekis,C,0:05,call,2026-02-19T14:13:19.011864,,,
284485,Certhia americana,Brown Creeper,United States,"Hilltop Park, Anchorage, Alaska",61.1419,,2015-10-07,12:30,Dan Lane,B,1:45,call,2026-02-19T14:13:20.809312,,,
361817,Hirundo rustica,Barn Swallow,Spain,"chiclana, cádiz, andalucía",36.4172,,2017-03-20,?,José Carlos Sires,A,0:21,"call, flight call, song",2026-02-19T14:13:23.132175,,,
57971,Calypte anna,Anna's Hummingbird,United States,"Sunset Park, Las Vegas, Nevada",36.0628,,2009-03-06,11:30am,Mike Nelson,B,0:18,song,2026-02-19T14:13:25.169528,,,
206007,Pica hudsonia,Black-billed Magpie,United States,"Spring Brook Trail, El Dorado Spgs, Boulder County, Colorado",39.9278,,2014-06-12,07:07,Eric DeFonso,A,0:57,call,2026-02-19T14:13:27.017426,,,
402349,Setophaga fusca,Blackburnian Warbler,Colombia,"Reserva Natural Los Portales, Gachantivá, Boyacá",5.8023,,2018-01-14,08:29,Diana Carolina Macana,C,0:22,alarm call,2026-02-19T14:13:28.862264,,,
166220,Icterus galbula,Baltimore Oriole,Costa Rica,La Ensenada,10.1434,,2014-01-15,09:00,Mike Nelson,B,0:02,call,2026-02-19T14:13:30.729134,,,
306438,Certhia americana,Brown Creeper,United States,"Mt Mansfield, Vermont",44.5412,,2012-05-30,09:26,Paul Marvin,B,0:48,song,2026-02-19T14:13:32.777288,,,
454402,Falco sparverius,American Kestrel,Peru,"Lima, Santiago de Surco",-12.108,,2018-12-03,18:00,Nicole Henriod,E,0:04,flight call,2026-02-19T14:13:34.679713,,,
139144,Riparia riparia,Sand Martin,Russian Federation,"Poretskiy rayon, Chuvashia",55.0799,,2013-06-09,13:00,Albert Lastukhin,C,1:00,"call, flight call, song",2026-02-19T14:13:36.592136,,,
177172,Icterus bullockii,Bullock's Oriole,United States,"park by library, Zapata, Texas",26.9016,,2012-04-10,07:34,Paul Marvin,B,0:19,song,2026-02-19T14:13:38.471971,,,
205924,Toxostoma rufum,Brown Thrasher,Bahamas,Abandoned Restaurant,26.723,,2014-12-08,08:00,Jim Holmes,A,0:20,call,2026-02-19T14:13:40.285003,,,
318444,Empidonax alnorum,Alder Flycatcher,United States,"Watts Flats WMA, Town of Harmony (near  Ashville), Chautauqua County, New York",42.0316,,2016-05-22,07:08,Jim Berry,B,0:30,song,2026-02-19T14:13:42.290466,,,
139577,Empidonax alnorum,Alder Flycatcher,United States,"Big Bay State Park, Ashland, Wisconsin",46.8107,,2013-06-23,06:57,Jonathon Jongsma,A,4:29,song,2026-02-19T14:13:44.137755,,,
238074,Calidris bairdii,Baird's Sandpiper,Ecuador,Cotopaxi: Laguna de Limpiopungo,-0.614,,1993-10-23,?,Niels Krabbe,B,0:07,"call, call when flushed",2026-02-19T14:13:45.974000,,,
451857,Setophaga caerulescens,Black-throated Blue Warbler,United States,"River Lakes Conservation Area near Viera, Brevard Co, Florida",28.229,,2018-05-09,08:31,Paul Marvin,B,0:24,song,2026-02-19T14:13:47.813398,,,
253320,Spizella breweri,Brewer's Sparrow,United States,"Deseret Land and Livestock Ranch, Rich County, Utah",41.2432,,2013-06-01,08:00,Matthias Feuersenger,A,0:44,"song, ""simple song"" of brewer's sparrow",2026-02-19T14:13:49.733255,,,
178016,Thryomanes bewickii,Bewick's Wren,United States,"Oso Flaco Lake, Nipomo, California",35.0307,,2014-05-04,08:09,Thomas G. Graves,A,2:24,song,2026-02-19T14:13:51.885775,,,
173148,Thryomanes bewickii,Bewick's Wren,United States,"FR 42, Upper Cave Creek Canyon, Cochise County, Arizona",31.901,,2014-01-01,08:23,Eric DeFonso,A,0:56,song,2026-02-19T14:13:53.805457,,,
390183,Euphagus cyanocephalus,Brewer's Blackbird,United States,"Wofford Heights, Kern County, California",35.6513,,2017-09-14,18:00,Guy Kirwan,B,0:43,call,2026-02-19T14:13:55.703466,,,
493268,Calypte anna,Anna's Hummingbird,United States,"Monument Rd and nearby trails, Tijuana River Valley, San Diego, California",32.5458,,2019-08-18,08:00,Paul Marvin,A,0:07,flight call,2026-02-19T14:13:57.561854,,,
50601,Dolichonyx oryzivorus,Bobolink,Argentina,"San Javier,  Santa Fe",-30.583027,,2006-03-18,?:?,Bernabe Lopez-Lanus,B,0:09,song,2026-02-19T14:13:59.375737,,,
422148,Vermivora cyanoptera,Blue-winged Warbler,United States,"State Game Lands 76, Franklin County, Pennsylvania",40.0852,,2013-05-06,09:00,Brian Henderson,B,0:17,song,2026-02-19T14:14:01.263216,,,
504196,Turdus migratorius,American Robin,United States,"Ernest Oros Nature Preserve, Avenel, New Jersey",40.5874,,2019-10-26,08:00,William Whitehead,A,0:08,alarm call,2026-02-19T14:14:03.161737,,,
110078,Spatula discors,Blue-winged Teal,United States,"Burke County prairie potholes, North Dakota",48.731,,2012-06-08,11:00,Andrew Spencer,A,1:09,call,2026-02-19T14:14:04.983730,,,
149395,Psaltriparus minimus,American Bushtit,United States,"Otay Lakes, San Diego Co., California",32.6287,,2012-02-22,08:34,Paul Marvin,A,0:05,alarm call,2026-02-19T14:14:07.023213,,,
217799,Icterus galbula,Baltimore Oriole,United States,"Swan Point Cemetery, Providence, Rhode Island",41.8521,,2012-05-14,09:36,Paul Marvin,A,3:12,song,2026-02-19T14:14:09.014702,,,
153556,Icterus galbula,Baltimore Oriole,United States,"Falmouth, Barnstable, Massachusetts",41.5221,,2013-07-01,12:00,Mike Schanbacher,B,0:36,"begging call, call",2026-02-19T14:14:10.874743,,,
253935,Falco sparverius,American Kestrel,United States,"Yerington, Lyon County, Nevada",39.1565,,2015-06-19,06:00,Bobby Wilcox,D,0:18,call,2026-02-19T14:14:12.730961,,,
308712,Spatula discors,Blue-winged Teal,United States,"Batesville, Panola County, Mississippi",34.3398,,2016-03-25,12:00,J.R. Rigby,A,0:16,call,2026-02-19T14:14:14.520915,,,
172821,Pheucticus melanocephalus,Black-headed Grosbeak,United States,"Villegreen Rd (CR 177.9), Las Animas County, Colorado",37.506,,2013-05-28,11:04,Eric DeFonso,A,0:33,song,2026-02-19T14:14:16.397247,,,
217762,Euphagus cyanocephalus,Brewer's Blackbird,United States,"1 (near  Ida), Caddo Parish, Louisiana",32.994,,2015-01-27,10:48,Terry Davis,B,0:25,"call, song",2026-02-19T14:14:18.272135,,,
304679,Recurvirostra americana,American Avocet,United States,"Cheyenne Bottoms, Barton County, Kansas",38.4716,,2015-05-24,13:42,Paul Marvin,B,0:25,call,2026-02-19T14:14:20.114246,,,
384058,Passerina caerulea,Blue Grosbeak,Mexico,"Sitio Ramsar Río San Pedro-Meoqui, Meoqui Municipality, Chihuahua",28.2592,,2012-05-20,08:30,fernando mondaca fernandez,A,0:07,song,2026-02-19T14:14:21.898280,,,
122813,Myiarchus cinerascens,Ash-throated Flycatcher,United States,"San Simon Cienega, Cochise County, Arizona",32.084,,2012-07-28,07:59,Richard E. Webster,A,2:56,"call, contact calls of family group",2026-02-19T14:14:23.756757,,,
133565,Spinus tristis,American Goldfinch,United States,"Franklin Township, Somerset, New Jersey",40.4746,,2013-05-12,10:00,Dan Lane,B,0:55,call,2026-02-19T14:14:25.546807,,,
132889,Selasphorus platycercus,Broad-tailed Hummingbird,United States,"Portal, Arizona",31.906,,2013-04-16,07:02,Richard E. Webster,B,0:26,"display, wing whine",2026-02-19T14:14:27.500466,,,
469745,Poecile atricapillus,Black-capped Chickadee,United States,"Olympia, Thurston County, Washington",47.0562,,2019-04-30,14:51,bowtyler,D,2:28,call,2026-02-19T14:14:29.490716,,,
122442,Cyanocitta cristata,Blue Jay,United States,"San Antonio, Bexar, Texas",29.509,,2013-02-09,10:00,Chris Harrison,A,0:23,call,2026-02-19T14:14:31.326184,,,
495178,Selasphorus platycercus,Broad-tailed Hummingbird,United States,"Rocky Mountains (near  Tererro), San Miguel County, New Mexico",35.7426,,2019-08-22,08:19,Thomas G. Graves,B,1:33,"call, chips, wing sounds",2026-02-19T14:14:33.173154,,,
338164,Botaurus lentiginosus,American Bittern,United States,"River Lakes Conservation Area near Viera, Brevard Co, Florida",28.229,,2016-10-14,07:32,Paul Marvin,A,0:12,flight call,2026-02-19T14:14:35.077851,,,
253947,Polioptila caerulea,Blue-grey Gnatcatcher,United States,"Chinle, Apache County, Arizona",36.1336,,2015-05-07,14:15,Patrick Turgeon,A,0:11,song,2026-02-19T14:14:36.938652,,,
452609,Turdus migratorius,American Robin,United States,"Attwater Prairie Chicken NWR, Colorado County, Texas",29.6689,,2018-02-18,09:59,Paul Marvin,A,0:26,call,2026-02-19T14:14:39.022826,,,
240987,Coccyzus erythropthalmus,Black-billed Cuckoo,United States,"Elkins Park, PA",40.0626,,2015-05-08,03:13,Paul Driver,C,0:03,flight call,2026-02-19T14:14:41.009629,,,
243688,Thryomanes bewickii,Bewick's Wren,United States,"Gates Canyon, Solano County, California",38.3888,,2015-04-10,17:57,Ryan P. O&#039;Donnell,A,2:21,"call, song",2026-02-19T14:14:42.854661,,,
191982,Molothrus ater,Brown-headed Cowbird,Canada,"3 km south of Fishing Lake, SK",51.7759,,2014-06-03,17:52,Patrick Turgeon,B,0:05,,2026-02-19T14:14:44.758918,,,
205389,Setophaga nigrescens,Black-throated Grey Warbler,United States,"Rim Road, Uncompahgre Plateau, Montrose County, Colorado",38.388,,2014-05-19,10:07,Eric DeFonso,A,1:02,song,2026-02-19T14:14:46.605855,,,
318350,Dolichonyx oryzivorus,Bobolink,United States,"Fermilab, DuPage County, Illinois",41.8426,,2016-05-24,17:25,Matt Wistrand,A,1:05,song,2026-02-19T14:14:48.520590,,,
123370,Thryomanes bewickii,Bewick's Wren,United States,"South Llano River State Park, Junction, Kimble, Texas",30.4431,,2011-03-15,18:30,Chris Harrison,A,0:09,song,2026-02-19T14:14:50.321769,,,
298561,Archilochus alexandri,Black-chinned Hummingbird,United States,"Beatty's in  Miller Canyon (near  Hereford), Cochise Co, Arizona",31.4156,,2013-04-24,15:01,Paul Marvin,B,0:06,"flight call, wing noise",2026-02-19T14:14:52.185610,,,
380033,Empidonax alnorum,Alder Flycatcher,United States,"Watts Flats WMA, New York (near  Ashville), Chautauqua County, New York",42.033,,2017-07-16,09:00,Jim Berry,B,0:48,song,2026-02-19T14:14:54.104383,,,
210839,Setophaga virens,Black-throated Green Warbler,United States,"Land Between the Lakes NRA, Kentucky",36.7772,,2014-10-08,08:10,Paul Marvin,B,0:05,"call, flight call",2026-02-19T14:14:55.974935,,,
420908,Dolichonyx oryzivorus,Bobolink,United States,"Finger Lakes National Forest, New York",42.5053,,2018-06-16,08:30,GABRIEL LEITE,A,0:31,song,2026-02-19T14:14:57.867164,,,
381411,Psaltriparus minimus,American Bushtit,United States,"Desatoya Range, Churchill County, Nevada",39.5155,,2017-07-04,07:00,Bobby Wilcox,B,0:53,call,2026-02-19T14:15:00.610797,,,
328794,Setophaga striata,Blackpoll Warbler,Canada,"Seal Island, Yarmouth County, Nova Scotia",43.4064,,2016-06-15,09:55,Lucas Berrigan,A,0:54,song,2026-02-19T14:15:02.402859,,,
321768,Passerina caerulea,Blue Grosbeak,United States,"Picture Canyon, Baca County, Colorado",37.0089,,2016-06-09,13:25,Sue Riffe,B,0:08,call,2026-02-19T14:15:04.199219,,,
483212,Falco sparverius,American Kestrel,United States,"Monument Rd and nearby trails, Tijuana River Valley, San Diego, California",32.5458,,2019-06-24,07:09,Paul Marvin,A,1:44,"call, flight call",2026-02-19T14:15:05.957819,,,
153860,Coccyzus erythropthalmus,Black-billed Cuckoo,Canada,"Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,,2013-06-15,23:00,Dugan Maynard,E,0:11,call,2026-02-19T14:15:07.810364,,,
452505,Calypte anna,Anna's Hummingbird,United States,"Gilbert Water Ranch/Riparian Preserve, Maricopa County, Arizona",33.3607,,2018-01-12,11:52,Paul Marvin,B,0:19,"call, flight display dive",2026-02-19T14:15:09.644470,,,
211130,Bucephala albeola,Bufflehead,United States,"Black Rock Park, Croton, New York",,,2015-01-22,16:40,Daniel Parker,E,0:39,"call, wing / water noise",2026-02-19T14:15:11.483653,,,
406151,Spizelloides arborea,American Tree Sparrow,United States,"Three Forks, Gallatin County, Montana",45.8255,,2018-03-07,08:00,Tom Forwood Jr.,B,0:30,"call, song",2026-02-19T14:15:13.336505,,,
260937,Sayornis nigricans,Black Phoebe,Ecuador,Napo: Sierra Azul,-0.67,,1996-11-00,?,Mitch Lysinger,A,0:17,song,2026-02-19T14:15:15.171660,,,
136054,Toxostoma rufum,Brown Thrasher,United States,"Richardson Nature Center, Hennepin, Minnesota",44.8432,,2013-06-02,07:04,Jonathon Jongsma,A,3:24,song,2026-02-19T14:15:17.096376,,,
451252,Sayornis nigricans,Black Phoebe,United States,"Saturn Blvd pond, Tijuana River Valley, San Diego County, California",32.5593,,2018-01-03,07:10,Paul Marvin,A,0:12,call,2026-02-19T14:15:19.043000,,,
388163,Icterus galbula,Baltimore Oriole,Canada,"Marais Léon-Provancher, Portneuf, Québec",46.7179,,2017-05-20,08:03,Martin St-Michel,B,0:48,song,2026-02-19T14:15:20.927240,,,
293246,Corvus brachyrhynchos,American Crow,Canada,"Les Escoumins, La Haute-Côte-Nord, Québec",48.3483,,2015-06-20,16:10,Martin St-Michel,A,0:07,flight call,2026-02-19T14:15:22.851582,,,
407173,Scolopax minor,American Woodcock,Canada,"Oakville, Halton Regional Municipality, Ontario",43.4195,,2016-03-15,19:30,Dominik Halas,D,0:24,call,2026-02-19T14:15:24.856372,,,
