recording_id,filename,duration_sec,original_sample_rate,original_channels,format,valid,error
XC122807,XC122807.wav,6.16,32000,1,WAV,True,
XC122809,XC122809.wav,130.85,32000,1,WAV,True,
XC122810,XC122810.wav,17.65,32000,1,WAV,True,
XC122811,XC122811.wav,65.52,32000,1,WAV,True,
XC122812,XC122812.wav,211.82,32000,1,WAV,True,
XC122813,XC122813.wav,176.64,32000,1,WAV,True,
XC122814,XC122814.wav,98.53,32000,1,WAV,True,
XC122815,XC122815.wav,88.4,32000,1,WAV,True,
XC122816,XC122816.wav,92.58,32000,1,WAV,True,
XC122817,XC122817.wav,68.65,32000,1,WAV,True,
XC122818,XC122818.wav,23.04,32000,1,WAV,True,
XC122819,XC122819.wav,76.0,32000,1,WAV,True,
XC122820,XC122820.wav,33.18,32000,1,WAV,True,
XC122821,XC122821.wav,87.25,32000,1,WAV,True,
XC122822,XC122822.wav,86.4,32000,1,WAV,True,
XC122824,XC122824.wav,85.49,32000,1,WAV,True,
XC122825,XC122825.wav,147.72,32000,1,WAV,True,
XC122826,XC122826.wav,41.38,32000,1,WAV,True,
XC122892,XC122892.wav,38.66,32000,1,WAV,True,
XC122895,XC122895.wav,50.7,32000,1,WAV,True,
XC122896,XC122896.wav,78.42,32000,1,WAV,True,
XC122898,XC122898.wav,172.9,32000,1,WAV,True,
XC122900,XC122900.wav,119.34,32000,1,WAV,True,
XC122904,XC122904.wav,89.87,32000,1,WAV,True,
XC122908,XC122908.wav,154.66,32000,1,WAV,True,
XC122909,XC122909.wav,18.34,32000,1,WAV,True,
XC122910,XC122910.wav,31.06,32000,1,WAV,True,
XC122911,XC122911.wav,208.95,32000,1,WAV,True,
XC122912,XC122912.wav,219.38,32000,1,WAV,True,
XC122913,XC122913.wav,126.11,32000,1,WAV,True,
XC122914,XC122914.wav,165.04,32000,1,WAV,True,
XC122915,XC122915.wav,258.05,32000,1,WAV,True,
XC122916,XC122916.wav,43.23,32000,1,WAV,True,
XC122918,XC122918.wav,55.59,32000,1,WAV,True,
XC122922,XC122922.wav,38.35,32000,1,WAV,True,
XC122924,XC122924.wav,268.03,32000,1,WAV,True,
XC123156,XC123156.wav,62.41,32000,1,WAV,True,
XC123302,XC123302.wav,3.55,32000,1,WAV,True,
XC123306,XC123306.wav,4.99,32000,1,WAV,True,
XC123343,XC123343.wav,1.36,32000,1,WAV,True,
XC123363,XC123363.wav,10.71,32000,1,WAV,True,
XC123364,XC123364.wav,3.7,32000,1,WAV,True,
XC123370,XC123370.wav,4.8,32000,1,WAV,True,
XC123405,XC123405.wav,18.69,32000,1,WAV,True,
XC123506,XC123506.wav,59.84,32000,1,WAV,True,
XC124067,XC124067.wav,0.91,32000,1,WAV,True,
XC124268,XC124268.wav,42.41,32000,1,WAV,True,
XC124312,XC124312.wav,16.91,32000,1,WAV,True,
XC124431,XC124431.wav,78.46,32000,1,WAV,True,
XC124433,XC124433.wav,49.43,32000,1,WAV,True,
XC124438,XC124438.wav,66.51,32000,1,WAV,True,
XC124439,XC124439.wav,32.57,32000,1,WAV,True,
XC124441,XC124441.wav,141.27,32000,1,WAV,True,
XC124484,XC124484.wav,23.92,32000,1,WAV,True,
XC124590,XC124590.wav,137.55,32000,1,WAV,True,
XC124591,XC124591.wav,106.02,32000,1,WAV,True,
XC124593,XC124593.wav,71.09,32000,1,WAV,True,
XC124595,XC124595.wav,357.66,32000,1,WAV,True,
XC124992,XC124992.wav,112.61,32000,1,WAV,True,
XC125090,XC125090.wav,77.71,32000,1,WAV,True,
XC125091,XC125091.wav,125.05,32000,1,WAV,True,
XC125093,XC125093.wav,187.58,32000,1,WAV,True,
XC125094,XC125094.wav,190.04,32000,1,WAV,True,
XC125095,XC125095.wav,196.55,32000,1,WAV,True,
XC125096,XC125096.wav,80.82,32000,1,WAV,True,
XC125168,XC125168.wav,10.91,32000,1,WAV,True,
XC125169,XC125169.wav,59.43,32000,1,WAV,True,
XC125171,XC125171.wav,125.6,32000,1,WAV,True,
XC125173,XC125173.wav,364.51,32000,1,WAV,True,
XC125176,XC125176.wav,272.72,32000,1,WAV,True,
XC125178,XC125178.wav,100.99,32000,1,WAV,True,
XC125207,XC125207.wav,259.15,32000,1,WAV,True,
XC125512,XC125512.wav,21.78,32000,1,WAV,True,
XC125540,XC125540.wav,247.47,32000,1,WAV,True,
XC125542,XC125542.wav,8.38,32000,1,WAV,True,
XC125544,XC125544.wav,36.05,32000,1,WAV,True,
XC125546,XC125546.wav,6.0,32000,1,WAV,True,
XC125547,XC125547.wav,35.04,32000,1,WAV,True,
XC125549,XC125549.wav,38.24,32000,1,WAV,True,
XC125550,XC125550.wav,41.66,32000,1,WAV,True,
XC125553,XC125553.wav,47.55,32000,1,WAV,True,
XC125555,XC125555.wav,75.62,32000,1,WAV,True,
XC125556,XC125556.wav,46.63,32000,1,WAV,True,
XC125557,XC125557.wav,139.77,32000,1,WAV,True,
XC125558,XC125558.wav,117.52,32000,1,WAV,True,
XC125559,XC125559.wav,237.79,32000,1,WAV,True,
XC125560,XC125560.wav,20.06,32000,1,WAV,True,
XC125561,XC125561.wav,144.14,32000,1,WAV,True,
XC125564,XC125564.wav,159.97,32000,1,WAV,True,
XC125567,XC125567.wav,452.21,32000,1,WAV,True,
XC125569,XC125569.wav,81.27,32000,1,WAV,True,
XC125571,XC125571.wav,84.22,32000,1,WAV,True,
XC125573,XC125573.wav,72.67,32000,1,WAV,True,
XC125576,XC125576.wav,243.64,32000,1,WAV,True,
XC125579,XC125579.wav,4.44,32000,1,WAV,True,
XC125581,XC125581.wav,27.17,32000,1,WAV,True,
XC125727,XC125727.wav,108.94,32000,1,WAV,True,
XC125729,XC125729.wav,123.07,32000,1,WAV,True,
XC125844,XC125844.wav,32.02,32000,1,WAV,True,
XC126022,XC126022.wav,0.86,32000,1,WAV,True,
XC127371,XC127371.wav,19.94,32000,1,WAV,True,
XC127418,XC127418.wav,13.73,32000,1,WAV,True,
XC127600,XC127600.wav,218.21,32000,1,WAV,True,
XC127999,XC127999.wav,434.53,32000,1,WAV,True,
XC128001,XC128001.wav,53.36,32000,1,WAV,True,
XC128002,XC128002.wav,178.68,32000,1,WAV,True,
XC128099,XC128099.wav,25.41,32000,1,WAV,True,
XC128249,XC128249.wav,13.06,32000,1,WAV,True,
XC128490,XC128490.wav,149.41,32000,1,WAV,True,
XC128705,XC128705.wav,14.21,32000,1,WAV,True,
XC128942,XC128942.wav,35.3,32000,1,WAV,True,
XC129225,XC129225.wav,23.74,32000,1,WAV,True,
XC129313,XC129313.wav,96.31,32000,1,WAV,True,
XC129386,XC129386.wav,59.1,32000,1,WAV,True,
XC129387,XC129387.wav,31.68,32000,1,WAV,True,
XC129650,XC129650.wav,28.37,32000,1,WAV,True,
XC129798,XC129798.wav,24.26,32000,1,WAV,True,
XC130058,XC130058.wav,22.4,32000,1,WAV,True,
XC130170,XC130170.wav,31.94,32000,1,WAV,True,
XC130499,XC130499.wav,22.24,32000,1,WAV,True,
XC130500,XC130500.wav,6.4,32000,1,WAV,True,
XC130507,XC130507.wav,20.73,32000,1,WAV,True,
XC130508,XC130508.wav,14.85,32000,1,WAV,True,
XC130510,XC130510.wav,33.15,32000,1,WAV,True,
XC130511,XC130511.wav,11.18,32000,1,WAV,True,
XC130512,XC130512.wav,21.49,32000,1,WAV,True,
XC130513,XC130513.wav,6.75,32000,1,WAV,True,
XC130525,XC130525.wav,57.68,32000,1,WAV,True,
XC131093,XC131093.wav,89.82,32000,1,WAV,True,
XC131442,XC131442.wav,7.63,32000,1,WAV,True,
XC131445,XC131445.wav,10.48,32000,1,WAV,True,
XC131447,XC131447.wav,56.94,32000,1,WAV,True,
XC131452,XC131452.wav,67.49,32000,1,WAV,True,
XC131462,XC131462.wav,8.05,32000,1,WAV,True,
XC131549,XC131549.wav,50.75,32000,1,WAV,True,
XC131559,XC131559.wav,16.01,32000,1,WAV,True,
XC131566,XC131566.wav,46.83,32000,1,WAV,True,
XC131567,XC131567.wav,26.93,32000,1,WAV,True,
XC131637,XC131637.wav,117.6,32000,1,WAV,True,
XC131879,XC131879.wav,10.48,32000,1,WAV,True,
XC131881,XC131881.wav,53.73,32000,1,WAV,True,
XC131882,XC131882.wav,45.26,32000,1,WAV,True,
XC131925,XC131925.wav,16.61,32000,1,WAV,True,
XC131951,XC131951.wav,85.52,32000,1,WAV,True,
XC131952,XC131952.wav,17.87,32000,1,WAV,True,
XC131971,XC131971.wav,44.53,32000,1,WAV,True,
XC132145,XC132145.wav,500.03,32000,1,WAV,True,
XC132216,XC132216.wav,8.58,32000,1,WAV,True,
XC132217,XC132217.wav,70.98,32000,1,WAV,True,
XC132219,XC132219.wav,59.46,32000,1,WAV,True,
XC132220,XC132220.wav,41.22,32000,1,WAV,True,
XC132223,XC132223.wav,28.06,32000,1,WAV,True,
XC132224,XC132224.wav,4.35,32000,1,WAV,True,
XC132226,XC132226.wav,11.09,32000,1,WAV,True,
XC132229,XC132229.wav,76.43,32000,1,WAV,True,
XC132236,XC132236.wav,63.63,32000,1,WAV,True,
XC132237,XC132237.wav,54.56,32000,1,WAV,True,
XC132239,XC132239.wav,23.93,32000,1,WAV,True,
XC132241,XC132241.wav,38.06,32000,1,WAV,True,
XC132243,XC132243.wav,8.43,32000,1,WAV,True,
XC132246,XC132246.wav,41.31,32000,1,WAV,True,
XC132248,XC132248.wav,18.85,32000,1,WAV,True,
XC132250,XC132250.wav,16.98,32000,1,WAV,True,
XC132251,XC132251.wav,146.4,32000,1,WAV,True,
XC132254,XC132254.wav,225.98,32000,1,WAV,True,
XC132255,XC132255.wav,51.53,32000,1,WAV,True,
XC132256,XC132256.wav,124.64,32000,1,WAV,True,
XC132257,XC132257.wav,52.62,32000,1,WAV,True,
XC132258,XC132258.wav,55.76,32000,1,WAV,True,
XC132259,XC132259.wav,23.41,32000,1,WAV,True,
XC132277,XC132277.wav,12.09,32000,1,WAV,True,
XC132278,XC132278.wav,10.48,32000,1,WAV,True,
XC132280,XC132280.wav,6.03,32000,1,WAV,True,
XC132281,XC132281.wav,8.4,32000,1,WAV,True,
XC132282,XC132282.wav,4.73,32000,1,WAV,True,
XC132283,XC132283.wav,10.6,32000,1,WAV,True,
XC132284,XC132284.wav,22.05,32000,1,WAV,True,
XC132285,XC132285.wav,50.38,32000,1,WAV,True,
XC132286,XC132286.wav,10.21,32000,1,WAV,True,
XC132287,XC132287.wav,4.59,32000,1,WAV,True,
XC132288,XC132288.wav,54.86,32000,1,WAV,True,
XC132319,XC132319.wav,21.6,32000,1,WAV,True,
XC132320,XC132320.wav,13.92,32000,1,WAV,True,
XC132321,XC132321.wav,14.43,32000,1,WAV,True,
XC132322,XC132322.wav,7.92,32000,1,WAV,True,
XC132323,XC132323.wav,23.46,32000,1,WAV,True,
XC132324,XC132324.wav,6.35,32000,1,WAV,True,
XC132325,XC132325.wav,6.43,32000,1,WAV,True,
XC132328,XC132328.wav,12.38,32000,1,WAV,True,
XC132331,XC132331.wav,14.79,32000,1,WAV,True,
XC132333,XC132333.wav,18.05,32000,1,WAV,True,
XC132334,XC132334.wav,29.26,32000,1,WAV,True,
XC132335,XC132335.wav,25.76,32000,1,WAV,True,
XC132338,XC132338.wav,21.84,32000,1,WAV,True,
XC132341,XC132341.wav,24.69,32000,1,WAV,True,
XC132342,XC132342.wav,14.94,32000,1,WAV,True,
XC132344,XC132344.wav,31.4,32000,1,WAV,True,
XC132347,XC132347.wav,15.7,32000,1,WAV,True,
XC132348,XC132348.wav,7.47,32000,1,WAV,True,
XC132350,XC132350.wav,14.79,32000,1,WAV,True,
XC132352,XC132352.wav,44.82,32000,1,WAV,True,
XC132353,XC132353.wav,10.36,32000,1,WAV,True,
XC132355,XC132355.wav,73.33,32000,1,WAV,True,
XC132358,XC132358.wav,22.02,32000,1,WAV,True,
XC132359,XC132359.wav,9.14,32000,1,WAV,True,
XC132363,XC132363.wav,8.06,32000,1,WAV,True,
XC132365,XC132365.wav,4.08,32000,1,WAV,True,
XC132373,XC132373.wav,8.72,32000,1,WAV,True,
XC132381,XC132381.wav,49.66,32000,1,WAV,True,
XC132382,XC132382.wav,11.91,32000,1,WAV,True,
XC132383,XC132383.wav,5.56,32000,1,WAV,True,
XC132384,XC132384.wav,5.67,32000,1,WAV,True,
XC132386,XC132386.wav,13.06,32000,1,WAV,True,
XC132692,XC132692.wav,8.72,32000,1,WAV,True,
XC132693,XC132693.wav,35.89,32000,1,WAV,True,
XC132695,XC132695.wav,8.96,32000,1,WAV,True,
XC132819,XC132819.wav,9.16,32000,1,WAV,True,
XC132821,XC132821.wav,40.18,32000,1,WAV,True,
XC132823,XC132823.wav,16.34,32000,1,WAV,True,
XC132824,XC132824.wav,14.47,32000,1,WAV,True,
XC132826,XC132826.wav,53.55,32000,1,WAV,True,
XC132827,XC132827.wav,3.92,32000,1,WAV,True,
XC132828,XC132828.wav,8.92,32000,1,WAV,True,
XC132830,XC132830.wav,19.8,32000,1,WAV,True,
XC132831,XC132831.wav,11.25,32000,1,WAV,True,
XC132832,XC132832.wav,33.44,32000,1,WAV,True,
XC132833,XC132833.wav,36.03,32000,1,WAV,True,
XC132835,XC132835.wav,51.03,32000,1,WAV,True,
XC132836,XC132836.wav,26.87,32000,1,WAV,True,
XC132837,XC132837.wav,1.76,32000,1,WAV,True,
XC132838,XC132838.wav,16.09,32000,1,WAV,True,
XC132839,XC132839.wav,4.41,32000,1,WAV,True,
XC132842,XC132842.wav,30.83,32000,1,WAV,True,
XC132844,XC132844.wav,36.59,32000,1,WAV,True,
XC132845,XC132845.wav,8.67,32000,1,WAV,True,
XC132846,XC132846.wav,6.7,32000,1,WAV,True,
XC132847,XC132847.wav,19.28,32000,1,WAV,True,
XC132848,XC132848.wav,9.58,32000,1,WAV,True,
XC132849,XC132849.wav,19.14,32000,1,WAV,True,
XC132850,XC132850.wav,15.69,32000,1,WAV,True,
XC132851,XC132851.wav,11.01,32000,1,WAV,True,
XC132852,XC132852.wav,34.4,32000,1,WAV,True,
XC132853,XC132853.wav,12.64,32000,1,WAV,True,
XC132854,XC132854.wav,18.02,32000,1,WAV,True,
XC132855,XC132855.wav,5.56,32000,1,WAV,True,
XC132856,XC132856.wav,8.51,32000,1,WAV,True,
XC132857,XC132857.wav,11.01,32000,1,WAV,True,
XC132858,XC132858.wav,13.27,32000,1,WAV,True,
XC132859,XC132859.wav,15.46,32000,1,WAV,True,
XC132861,XC132861.wav,72.9,32000,1,WAV,True,
XC132864,XC132864.wav,58.75,32000,1,WAV,True,
XC132870,XC132870.wav,95.1,32000,1,WAV,True,
XC132872,XC132872.wav,35.02,32000,1,WAV,True,
XC132873,XC132873.wav,39.28,32000,1,WAV,True,
XC132886,XC132886.wav,19.31,32000,1,WAV,True,
XC132888,XC132888.wav,19.65,32000,1,WAV,True,
XC132889,XC132889.wav,26.72,32000,1,WAV,True,
XC132890,XC132890.wav,18.61,32000,1,WAV,True,
XC132891,XC132891.wav,29.41,32000,1,WAV,True,
XC132892,XC132892.wav,25.15,32000,1,WAV,True,
XC132894,XC132894.wav,47.95,32000,1,WAV,True,
XC132896,XC132896.wav,18.53,32000,1,WAV,True,
XC132901,XC132901.wav,119.34,32000,1,WAV,True,
XC132902,XC132902.wav,27.23,32000,1,WAV,True,
XC132903,XC132903.wav,126.46,32000,1,WAV,True,
XC132904,XC132904.wav,18.66,32000,1,WAV,True,
XC132905,XC132905.wav,32.3,32000,1,WAV,True,
XC132906,XC132906.wav,18.42,32000,1,WAV,True,
XC132908,XC132908.wav,20.58,32000,1,WAV,True,
XC132909,XC132909.wav,27.66,32000,1,WAV,True,
XC132910,XC132910.wav,20.43,32000,1,WAV,True,
XC132911,XC132911.wav,39.71,32000,1,WAV,True,
XC132913,XC132913.wav,79.89,32000,1,WAV,True,
XC132914,XC132914.wav,4.75,32000,1,WAV,True,
XC132916,XC132916.wav,149.17,32000,1,WAV,True,
XC132917,XC132917.wav,66.9,32000,1,WAV,True,
XC132918,XC132918.wav,90.88,32000,1,WAV,True,
XC132920,XC132920.wav,45.28,32000,1,WAV,True,
XC133039,XC133039.wav,25.75,32000,1,WAV,True,
XC133048,XC133048.wav,11.42,32000,1,WAV,True,
XC133080,XC133080.wav,10.29,32000,1,WAV,True,
XC133167,XC133167.wav,38.03,32000,1,WAV,True,
XC133392,XC133392.wav,33.69,32000,1,WAV,True,
XC133469,XC133469.wav,26.78,32000,1,WAV,True,
XC133500,XC133500.wav,25.0,32000,1,WAV,True,
XC133564,XC133564.wav,50.6,32000,1,WAV,True,
XC133565,XC133565.wav,55.22,32000,1,WAV,True,
XC133569,XC133569.wav,27.86,32000,1,WAV,True,
XC133590,XC133590.wav,137.08,32000,1,WAV,True,
XC133792,XC133792.wav,43.34,32000,1,WAV,True,
XC133794,XC133794.wav,19.02,32000,1,WAV,True,
XC133902,XC133902.wav,68.53,32000,1,WAV,True,
XC133923,XC133923.wav,304.63,32000,1,WAV,True,
XC133969,XC133969.wav,168.64,32000,1,WAV,True,
XC133979,XC133979.wav,197.64,32000,1,WAV,True,
XC133993,XC133993.wav,62.06,32000,1,WAV,True,
XC133996,XC133996.wav,28.94,32000,1,WAV,True,
XC133998,XC133998.wav,104.21,32000,1,WAV,True,
XC134014,XC134014.wav,42.74,32000,1,WAV,True,
XC134017,XC134017.wav,131.14,32000,1,WAV,True,
XC134100,XC134100.wav,57.3,32000,1,WAV,True,
XC134185,XC134185.wav,100.62,32000,1,WAV,True,
XC134349,XC134349.wav,75.73,32000,1,WAV,True,
XC134439,XC134439.wav,9.1,32000,1,WAV,True,
XC134495,XC134495.wav,25.07,32000,1,WAV,True,
XC134496,XC134496.wav,3.86,32000,1,WAV,True,
XC134499,XC134499.wav,11.07,32000,1,WAV,True,
XC134501,XC134501.wav,34.29,32000,1,WAV,True,
XC134502,XC134502.wav,14.45,32000,1,WAV,True,
XC134504,XC134504.wav,31.65,32000,1,WAV,True,
XC134505,XC134505.wav,5.55,32000,1,WAV,True,
XC134872,XC134872.wav,62.45,32000,1,WAV,True,
XC134874,XC134874.wav,24.54,32000,1,WAV,True,
XC134876,XC134876.wav,109.55,32000,1,WAV,True,
XC134994,XC134994.wav,3.76,32000,1,WAV,True,
XC135026,XC135026.wav,39.2,32000,1,WAV,True,
XC135052,XC135052.wav,21.58,32000,1,WAV,True,
XC135053,XC135053.wav,107.58,32000,1,WAV,True,
XC135054,XC135054.wav,43.73,32000,1,WAV,True,
XC135055,XC135055.wav,72.88,32000,1,WAV,True,
XC135067,XC135067.wav,10.8,32000,1,WAV,True,
XC135075,XC135075.wav,80.33,32000,1,WAV,True,
XC135086,XC135086.wav,57.28,32000,1,WAV,True,
XC135087,XC135087.wav,34.24,32000,1,WAV,True,
XC135110,XC135110.wav,13.76,32000,1,WAV,True,
XC135117,XC135117.wav,16.5,32000,1,WAV,True,
XC135120,XC135120.wav,49.62,32000,1,WAV,True,
XC135284,XC135284.wav,14.18,32000,1,WAV,True,
XC135440,XC135440.wav,72.82,32000,1,WAV,True,
XC135451,XC135451.wav,93.96,32000,1,WAV,True,
XC135454,XC135454.wav,36.3,32000,1,WAV,True,
XC135455,XC135455.wav,33.9,32000,1,WAV,True,
XC135456,XC135456.wav,26.53,32000,1,WAV,True,
XC135457,XC135457.wav,36.02,32000,1,WAV,True,
XC135459,XC135459.wav,7.78,32000,1,WAV,True,
XC135460,XC135460.wav,36.48,32000,1,WAV,True,
XC135462,XC135462.wav,32.3,32000,1,WAV,True,
XC135463,XC135463.wav,18.53,32000,1,WAV,True,
XC135466,XC135466.wav,12.49,32000,1,WAV,True,
XC135468,XC135468.wav,20.34,32000,1,WAV,True,
XC135476,XC135476.wav,10.03,32000,1,WAV,True,
XC135477,XC135477.wav,14.34,32000,1,WAV,True,
XC135478,XC135478.wav,1.66,32000,1,WAV,True,
XC135492,XC135492.wav,14.07,32000,1,WAV,True,
XC135494,XC135494.wav,2.82,32000,1,WAV,True,
XC135495,XC135495.wav,4.7,32000,1,WAV,True,
XC135496,XC135496.wav,18.64,32000,1,WAV,True,
XC135497,XC135497.wav,16.62,32000,1,WAV,True,
XC135498,XC135498.wav,10.68,32000,1,WAV,True,
XC135499,XC135499.wav,27.89,32000,1,WAV,True,
XC135501,XC135501.wav,28.19,32000,1,WAV,True,
XC135502,XC135502.wav,7.47,32000,1,WAV,True,
XC135503,XC135503.wav,2.27,32000,1,WAV,True,
XC135680,XC135680.wav,110.1,32000,1,WAV,True,
